Timestamp,Question,Code,Question Type,Answers,A,B,C,D,Answer Explanation,Question Tag
12/26/2020 23:21:37,Predict the output,"class Wordpress {
int posts;
}

class Test {
public static void main(String[] args) {
Wordpress wp1 = new Wordpress();
wp1.posts = 25;
Wordpress wp2 = wp1;
wp1 = null;
System.out.println(""Posts="" + wp2.posts);
}
}",MCQ,D,Posts=0,Posts=null,Runtime exception occurs,Posts=25,"Even if one REFERENCE to the same object is alive, it can be used to access the object. So, wp2 still works even if wp1 is set to null.",Classes and Objects
12/26/2020 23:24:50,"In Java, add a ___ to a constructor to convert it into a method.",,MCQ,A,return type,static,if statement,semicolon,Constructor does not have any return type in Java.,Constructor
12/26/2020 23:27:57,Predict the output,"public class Test {
void show() {
System.out.println(""SHOW Method.."");
return;
}

public static void main(String[] args) {
Test t2 = new Test();
t2.show();
}
}",MCQ,C,No output,Compiler error,SHOW Method..,None,A void method can use an empty return statement.,Classes Methods
12/27/2020 19:35:19,"A ""this"" operator used inside a Java method refers to ___ variable.",,MCQ,C,Global variable,Method local variable,Instance variable,None,,Classes Methods
12/27/2020 19:38:23,Predict the output.,"public class Test {
int cakes = 5;

void order(int cakes) {
this.cakes = cakes;
}

public static void main(String[] args) {
Test t4 = new Test();
t4.order(10);
System.out.println(""CAKES="" + t4.cakes);
}
}",MCQ,C,CAKES=5,CAKES=0,CAKES=10,Compiler error,"In the program, this.cakes refers to the instance variable cakes.",Classes Methods
12/27/2020 19:39:56,A local variable declared inside a method can not be used in expressions without initializing it first.,,True or False,TRUE,TRUE,FALSE,,,,Classes Methods
12/27/2020 19:42:13,Predict the output.,"public class Test {
public static void main(String[] args) {
int localVariable;
System.out.println(localVariable);
}
}",MCQ,D,0,garbage value,NullPointerException,Compiler error,"In the above program, the localVariable is a Local variable and it is not initialized. You can not use it in any expressions, not even printing.",Classes and Objects
12/27/2020 19:43:49,A static-method or a static-variable is shared among all instances of a class.,,True or False,TRUE,TRUE,FALSE,,,Yes. a single copy of a static variable or method is common to all instance objects.,Classes Methods
12/27/2020 19:47:53,Predict the output,"public class Test {
static int cats = 25;

public static void main(String[] args) {
Test t6 = new Test();
System.out.println(""t6 BIRDS before="" + t6.cats);
Test t7 = new Test();
t7.cats = 10;
System.out.println(""t6 BIRDS after="" + t6.cats);
}
}",MCQ,B,"t6 BIRDS before=25
t6 BIRDS after=25","t6 BIRDS before=25
t6 BIRDS after=10","t6 BIRDS before=25
t6 BIRDS after=0",Compile Time Error,"The static variable ""cats"" is common to all objects. There is no separate copy like non-static variables.",Classes and Objects
12/27/2020 19:50:06,Predict the output.,"public class Test
{
int cars = 20;
void change(final int cars)
{
cars = 10;
this.cars = cars;
}
public static void main(String[] args)
{
Test t8 = new Test();
t8.change(30);
System.out.println(t8.cars);
}
}",MCQ,D,30,20,10,Compiler Error,"The argument that is marked final can not be reassigned or changed. So, the compiler error is produced. So, the statement cars=10; inside the change() method is wrong.",Classes and Objects
12/27/2020 19:54:47,Predict the output.,"class Road {
static void show() {
System.out.println(""Inside static method."");
}
}

public class Test {
public static void main(String[] args) {
Road.show();
}
}",MCQ,A,Inside static method.,empty message,Compiler error (Road variable has not been initialized),Runtime error / exception,You can directly call static methods of a class with just a DOT operator and class-name.,Classes Methods
12/27/2020 20:12:03,Predict the output,"class SomeClass {
char batch = 'A';
}

public class Test {
public static void main(String[] args) {
SomeClass a1 = new SomeClass();
System.out.println(""Before: "" + a1.batch);
SomeClass a2 = new SomeClass();
a2.batch = 'B';
System.out.println(""After: "" + a1.batch);
}
}",MCQ,B,"Before: A
After: B","Before: A
After: A","Before: A
After: ","Before: B
After: B","Instance variable ""batch"" is separate for each instance. So the changes to one instance object does not affect another instance object.",Classes and Objects
12/27/2020 20:15:27,The purpose of a Java constructor is ___.,,MCQ,D,Initialization of variables with passed data,Writing custom code,Accepting other objects as inputs,All the above,,Constructor
12/27/2020 20:19:20,Predict the output,"public class Test{
void Test() {
System.out.println(""Amsterdam"");
}

Test() {
System.out.println(""Antarctica"");
}

public static void main(String[] args) {
Test tc = new Test();
}
}",MCQ,A,Antarctica,Amsterdam,No output,Compiler error,Constructors does not have return type. If we give return type to constructor then it acts like a method.,Constructor
12/27/2020 20:28:11,A constructor with no parameters or no arguments is called ___.,,MCQ,A,Default constructor,User-defined constructor,Method,Both A & B,"Default Constructor is a constructor that can be called without having to provide any arguments, irrespective of whether the constructor is auto-generated or user-defined.",Constructor
12/27/2020 20:30:12,A constructor with one or more arguments or parameters is called a ___ constructor.,,MCQ,D,Default constructor,User-defined constructor,Non-default constructor,Both B & C,,Constructor
12/27/2020 20:35:26,Predict the output.,"public class Test
{
int count=10;
Test(int count)
{
System.out.println(""Count="" + count);
}

public static void main(String[] args)
{
Test con = new Test();
}
}",MCQ,C,Count=0,Count=10,Compiler error,None of the above,"If you write a constructor with arguments, the default constructor is not added by the compiler. You should add it explicitly.",Constructor
12/27/2020 20:37:06,Predict the output,"public class Test {
int birds = 10;

Test() {
this(20);
}

Test(int birds) {
System.out.println(""Birds="" + birds);
}

public static void main(String[] args) {
Test con = new Test();
}
}",MCQ,C,Birds=0,Birds=10,Birds=20,Compiler error,You can pass parameters to another constructor.,Constructor
12/27/2020 20:38:50,You can pass __ variables from one constructor to another overloaded constructor.,,MCQ,D,local variables,static variables,non-static variables,Both A & B,,Constructor
12/27/2020 20:41:35,Predict the output.,"public class Test {
Test(int a) {
System.out.println(""Book="" + a);
}

Test(float a) {
System.out.println(""Pen="" + a);
}

public static void main(String[] args) {
Test con = new Test(50.5f);
}
}",MCQ,B,Book=50,Pen=50.5,Compiler error,None of the above,Constructor overloading allows constructors with different arguments at the same time.,Constructor
12/30/2020 16:18:22,Predict the output.,"public class Test {
Test(boolean a) {
System.out.println(""MODEM="" + a);
}

Test(float a) {
System.out.println(""ROUTER="" + a);
}

public static void main(String[] args) {
Test con1 = new Test(50);
Test con2 = new Test(false);
}
}",MCQ,A,"ROUTER=50.0
MODEM=false","ROUTER=50
MODEM=false",Compiler error,None,Java knows when to typecast a variable to a higher type like a float from int. So the number 50 is passed to a constructor accepting a float argument as there is no constructor accepting int argument above.,Constructor
12/30/2020 16:23:27,Choosing a suitable overloaded constructor happens at compile time in Java.,,True or False,FALSE,TRUE,FALSE,,,,Constructor
12/30/2020 16:24:44,Java constructor overloading follows ___ principle in Object-Oriented programming.,,MCQ,C,Inheritance,Encapsulation,Polymorphism,None,"Overloading of constructors requires you to specify the same name to all constructors. So, it satisfies the polymorphism principle of Oops.",Polymorphism
12/30/2020 16:27:07,Predict the output.,"public class Test {
Test() {
show();
}

void show() {
System.out.println(""JAM JAM"");
}

public static void main(String[] args) {
Test con = new Test();
}
}",MCQ,A,JAM JAM,No Output,Compile error,None,,Constructor
12/30/2020 16:32:21,"To successfully overload a method in Java, the return types must be ___.",,MCQ,C,Same,Different,Same but using superclass or subclass types also work,None,,Method Overloading
12/30/2020 16:33:13,"To successfully overload a method in Java, the argument-list or parameter-list must be same.",,True or False,FALSE,TRUE,FALSE,,,,Method Overloading
12/30/2020 16:44:43,Predict the output.,"public class Test {
void show(int a, char b) {
System.out.println(""KING KONG"");
}

void show(char a, int b) {
System.out.println(""JIM JAM"");
}

public static void main(String[] args) {
Test m = new Test();
m.show(10, 'A');
m.show('B', 10);
}
}",MCQ,C,"JIM JAM
JIM JAM","KING KONG
KING KONG","KING KONG
JIM JAM",compiler error,Method signatures are clearly different. So both methods work.,Method Overloading
12/30/2020 16:53:31,"To successfully overload a method in Java, the method names must be ___.",,MCQ,A,Same,Different,Same or different,None,,Method Overloading
12/30/2020 16:56:42,Predict the output.,"public class Test {
int info() {
System.out.println(""PLANE"");
return 0;
}

void info() {
System.out.println(""AIRPORT"");
}

public static void main(String[] args) {
Test m = new Test();
int a = m.info();
}
}",MCQ,C,PLANE,AIRPORT,Compiler error,None,"Both methods with the same name ""info"" do not overload successfully as the return types are different (void and int).",Method Overloading
12/30/2020 16:59:50,Predict the output.,"class Wood {
}

class SubWood extends Wood {
}

public class Test {
Wood display(int a) {
System.out.println(""PINE"");
return new Wood();
}

SubWood display() {
System.out.println(""TEAK"");
return new SubWood();
}

public static void main(String[] args) {
Test m = new Test();
m.display();
}
}",MCQ,B,PINE,TEAK,Compiler error,None,"Return types for the method display() are Wood and SubWood. As these types are of superclass-subclass, it is a valid method overloading.",Method Overloading
12/30/2020 17:05:15,Predict the output.,"class Rabbit {
}

class WildRabbit extends Rabbit {
}

public class Test {
Rabbit jump() {
System.out.println(""Rabbit Jump"");
return new Rabbit();
}

WildRabbit jump() {
System.out.println(""Wild Rabbit Jump"");
return new WildRabbit();
}

public static void main(String[] args) {
Test obj = new Test();
obj.jump();
}
}",MCQ,C,Rabbit Jump,Wild Rabbit Jump,Compiler error,None,"The above program does not overload the method jump() properly as the argument list is not distinct. So the compiler reports ""duplicate method error"".",Inheritance
12/30/2020 17:09:53,Java method overloading implements the OOPS concept ___.,,MCQ,B,Inheritance,Polymorphism,Encapsulation,None,,Method Overloading
12/30/2020 17:13:23,Predict the output,"public class Test {
static int abs(int a) {
return a < 0 ? -a : a;
}

static float abs(float b) {
return b < 0 ? -b : b;
}

static double abs(double c) {
return c < 0 ? -c : c;
}

public static void main(String[] args) {
int a = -10;
float b = -4.56f;
double c = -10.123;
System.out.println(Test.abs(a) + "", "" + Test.abs(b) + "", "" + Test.abs(c));
}
}",MCQ,C,No output,Compiler error,"10, 4.56, 10.123","-10, -4.56, -10.123","The above program demonstrates the usage of Overloaded methods. ""abs"" function returns the absolute value of the input.",Method Overloading
12/31/2020 19:07:13,Which of the following is a type of polymorphism in Java?,,MCQ,A,Compile time polymorphism,Execution time polymorphism,Multiple polymorphism,Multilevel polymorphism,There are two types of polymorphism in Java. Compile time polymorphism (overloading) and runtime polymorphism (overriding).,Polymorphism
12/31/2020 19:11:08,What is the return type of a method that does not return any value?,,MCQ,C,int,float,void,double,Return type of a method must be made void if it is not returning any value.,Classes Methods
12/31/2020 19:12:47,What is the process of defining more than one method in a class differentiated by method signature?,,MCQ,B,Method overriding,Method overloading,Method doubling,None of the mentioned,"Method overloading is a process of defining more than one method in a class with same name differentiated by method signature i:e return type or parameters type and number. Example – int volume(int length, int width) & int volume(int length , int width , int height) can be used to calculate volume.",Classes Methods
12/31/2020 19:13:39,Which of the following is a method having same name as that of it’s class?,,MCQ,D,finalize,delete,class,constructor,A constructor is a method that initializes an object immediately upon creation. It has the same name as that of class in which it resides.,Classes Methods
12/31/2020 19:15:06,Which method can be defined only once in a program?,,MCQ,A,main method,finalize method,static method,private method,main() method can be defined only once in a program. Program execution begins from the main() method by java runtime system.,Classes Methods
12/31/2020 19:16:24,Which of this statement is incorrect?,,MCQ,D,All object of a class are allotted memory for the all the variables defined in the class,If a function is defined public it can be accessed by object of other class by inheritation,main() method must be made public,All object of a class are allotted memory for the methods defined in the class,"All object of class share a single copy of methods defined in a class, Methods are allotted memory only once. All the objects of the class have access to methods of that class are allotted memory only for the variables not for the methods.",Classes Methods
12/31/2020 19:20:29,Predict the output,"class box {

int width;
int height;
int length;
int volume;

void volume(int height, int length, int width) {
volume = width * height * length;
}
}

class Test {
public static void main(String args[]) {

box obj = new box();
obj.height = 1;
obj.length = 5;
obj.width = 5;
obj.volume(3, 2, 1);

System.out.println(obj.volume);
}
}",MCQ,C,0,1,6,25,,Classes Methods
12/31/2020 19:22:33,Predict the output,"class equality {

int x;
int y;

boolean isequal() {
return (x == y);
}
}

class Test {

public static void main(String args[]) {

equality obj = new equality();
obj.x = 5;
obj.y = 5;

System.out.println(obj.isequal());
}
}",MCQ,B,FALSE,TRUE,0,1,,Classes Methods
12/31/2020 19:31:51,Predict the output,"class Test {

public static int sum(int... x) {
return x[0];
}

public static void main(String args[]) {

sum(10);
sum(10, 20);
sum(10, 20, 30);
sum(10, 20, 30, 40);

}

}",MCQ,D,only sum(10),"only sum(10,20)","only sum(10) & sum(10,20)",all of the mentioned,sum is a variable argument method and hence it can take any number as an argument.,Classes Methods
12/31/2020 19:33:56,Predict the output,"class area {

int width;
int length;
int volume;

area() {
width = 5;
length = 6;
}

void volume() {
volume = width * length * height;
}
}

class cons_method {

public static void main(String args[]) {

area obj = new area();
obj.volume();
System.out.println(obj.volume);

}
}",MCQ,D,0,1,30,error,Variable height is not defined.,Classes Methods
12/31/2020 19:40:40,What is true about private constructor?,,MCQ,A,Private constructor ensures only one instance of a class exist at any point of time,Private constructor ensures multiple instances of a class exist at any point of time,Private constructor eases the instantiation of a class,Private constructor allows creating objects in other classes,Object of private constructor can only be created within class. Private constructor is used in singleton pattern.,Constructor
12/31/2020 19:42:00,What is false about constructor?,,MCQ,C,Constructors cannot be synchronized in Java,Java does not provide default copy constructor,Constructor can have a return type,“this” and “super” can be used in a constructor,The constructor cannot have a return type. It should create and return new objects. Hence it would give a compilation error.,Constructor
12/31/2020 19:42:52,What is true about constructor?,,MCQ,B,It can contain return type,It can take any number of parameters,It can have any non access modifiers,Constructor cannot throw an exception,Constructor returns a new object with variables defined as in the class. Instance variables are newly created and only one copy of static variables are created.,Constructor
12/31/2020 19:44:23,What would be behaviour if the constructor has a return type?,,MCQ,A,Compilation error,Runtime error,Compilation and runs successfully,Only String return type is allowed,The constructor cannot have a return type. It should create and return new object. Hence it would give compilation error.,Constructor
12/31/2020 19:45:24,What is true about protected constructor?,,MCQ,B,Protected constructor can be called directly,Protected constructor can only be called using super(),Protected constructor can be used outside package,protected constructor can be instantiated even if child is in a different package,Protected access modifier means that constructor can be accessed by child classes of the parent class and classes in the same package.,Constructor
12/31/2020 20:08:09,What is the process of defining two or more methods within same class that have same name but different parameters declaration?,,MCQ,A,method overloading,method overriding,method hiding,none of the mentioned,"Two or more methods can have same name as long as their parameters declaration is different, the methods are said to be overloaded and process is called method overloading. Method overloading is a way by which Java implements polymorphism.",Method Overloading
12/31/2020 20:08:57,Which of these can be overloaded?,,MCQ,C,Methods,Constructors,All of the mentioned,None of the mentioned,,Method Overloading
12/31/2020 20:10:16,"What is the process of defining a method in terms of itself, that is a method that calls itself?",,MCQ,D,Polymorphism,Abstraction,Encapsulation,Recursion,,Classes Methods
12/31/2020 20:12:42,Predict the output,"class overload {

int x;
int y;

void add(int a) {
x = a + 1;
}

void add(int a, int b) {
x = a + 2;
}
}

class Test {

public static void main(String args[]) {

overload obj = new overload();
int a = 0;
obj.add(6);
System.out.println(obj.x);

}
}",MCQ,C,Compile Error,6,7,8,,Method Overloading
12/31/2020 20:29:39,Predict the output,"class overload {

int x;
double y;

void add(int a, int b) {
x = a + b;
}

void add(double c, double d) {
y = c + d;
}

overload() {
this.x = 0;
this.y = 0;
}
}

class Test {

public static void main(String args[]) {

overload obj = new overload();
int a = 2;
double b = 3.2;
obj.add(a, a);
obj.add(a, b);
System.out.println(obj.x + "" "" + obj.y);

}
}",MCQ,D,Compile error,Run time error,4 6.4,4 5.2,"There is no add method with arguments as (int, double). But java compiler uses type casting at runtime (converts int to float). ",Method Overloading
12/31/2020 20:32:37,Predict the output,"class output {

int a;
int b;

void meth(int i, int j) {

i *= 2;
j /= 2;

}
}

class Test {

public static void main(String args[]) {

output obj = new output();
int a = 10;
int b = 20;
obj.meth(a, b);
System.out.println(a + "" "" + b);

}
}",MCQ,A,10 20,20 10,20 40,40 20,"Variables a & b are passed by value, copy of their values are made on formal parameters of function meth() that is i & j. Therefore changes done on i & j are not reflected back on original arguments. a & b remain 10 & 20 respectively.",Method Overloading
12/31/2020 20:35:05,Predict the output,"class output 
{

int a;
int b;
output(int i, int j) {
a = i;
b = j;
}

void meth(output o) {
o.a *= 2;
o.b /= 2;
} 
} 

class Test {

public static void main(String args[]) {

output obj = new output(10 , 20);
obj.meth(obj);
System.out.println(obj.a + "" "" + obj.b); 

} 
}",MCQ,B,10 20,20 10,20 40,40 20,"Class objects are always passed by reference, therefore changes done are reflected back on original arguments. obj.meth(obj) sends object obj as parameter whose variables a & b are multiplied and divided by 2 respectively by meth() function of class test. a & b becomes 20 & 10 respectively.",Classes Methods
12/31/2020 21:48:30,What is the process of defining a method in a subclass having same name & type signature as a method in its superclass?,,MCQ,B,Method overloading,Method overriding,Method hiding,None of the mentioned,,Method Overriding
12/31/2020 21:49:24,Which of these keywords can be used to prevent Method overriding?,,MCQ,D,static,constant,protected,final,"To disallow a method from being overridden, specify final as a modifier at the start of its declaration. Methods declared as final cannot be overridden.",Method Overriding
12/31/2020 21:51:15,Which of these is supported by method overriding in Java?,,MCQ,C,Abstraction,Encapsulation,Polymorphism,None of the mentioned,,Method Overriding
12/31/2020 21:57:59,Predict the output,"final class A {
int i;
}

class B extends A {
int j;
System.out.println(j + "" "" + i); 
}

class Test {
public static void main(String args[]) {
B obj = new B();
obj.display();
}
}",MCQ,D,2 2,3 3,Runtime Error,Compilation Error,"class A has been declared final hence it cannot be inherited by any other class. Hence class B does not have member i, giving compilation error.",Inheritance
12/31/2020 22:01:04,Predict the output.,"class A {

int i;

public void display() {
System.out.println(i);
}
}

class B extends A {

int j;

public void display() {
System.out.println(j);
}
}

class Dynamic_dispatch {

public static void main(String args[]) {

B obj2 = new B();
obj2.i = 1;
obj2.j = 2;

A r;
r = obj2;
r.display();

}
}",MCQ,B,1,2,Compile time error,Runtime error,"This is example of runtime polymorphism. r is reference of type A, the program assigns a reference of object obj2 to r and uses that reference to call function display() of class B.",Polymorphism
12/31/2020 22:06:10,Which of this keyword must be used to inherit a class?,,MCQ,D,super,this,extent,extends,,Inheritance
12/31/2020 22:07:15,Which of these is correct way of inheriting class A by class B?,,MCQ,C,class B + class A {},class B inherits class A {},class B extends A {},class B extends class A {},,Inheritance
12/31/2020 22:12:20,Predict the output,"class A {
int i;

void display() {
System.out.println(i);
}
}

class B extends A {
int j;

void display() {
System.out.println(j);
}
}

class Test {

public static void main(String args[]) {

B obj = new B();
obj.i = 1;
obj.j = 2;
obj.display();

}
}",MCQ,C,0,1,2,Compilation Error,"Class A & class B both contain display() method, class B inherits class A, when display() method is called by object of class B, display() method of class B is executed rather than that of Class A.",Inheritance
12/31/2020 22:21:37,Predict the output,"class A {
int i;
}

class B extends A {

int j;

void display() {
super.i = j + 1;
System.out.println(j + "" "" + i);
}
}

class inheritance {

public static void main(String args[]) {

B obj = new B();
obj.i = 1;
obj.j = 2;
obj.display();
}
}",MCQ,C,2 2,3 3,2 3,3 2,,Inheritance
12/31/2020 22:24:58,Predict the output.,"class A {

public int i;
public int j;

A() {
i = 1;
j = 2;
}
} 

class B extends A {

int a;

B() {
super();
} 
} 

class Test {

public static void main(String args[]){
B obj = new B();
System.out.println(obj.i + "" "" + obj.j);
}
}",MCQ,A,1 2,2 1,Runtime Error,Compilation Error,Keyword super is used to call constructor of class A by constructor of class B. Constructor of a initializes i & j to 1 & 2 respectively.,Inheritance
12/31/2020 22:28:40,What is not type of inheritance?,,MCQ,B,Single inheritance,Double inheritance,Hierarchical inheritance,Multiple inheritance,Inheritance is way of acquiring attributes and methods of parent class. Java supports hierarchical inheritance directly.,Inheritance
12/31/2020 22:52:01,"Using which of the following, multiple inheritance in Java can be implemented?",,MCQ,A,Interfaces,Multithreading,Protected methods,Private methods,This is also known as Double Diamond Problem. We can't implement multiple inheritance in java (without inter),Inheritance
12/31/2020 22:53:51,What would be the result if a class extends two interfaces and both have a method with same name and signature? Lets assume that the class is not implementing that method.,,MCQ,B,Runtime error,Compile time error,Code runs successfully,First called method is executed successfully,"In case of such conflict, compiler will not be able to link a method call due to ambiguity. It will throw compile time error.",Inheritance
12/31/2020 22:55:03,Static members are not inherited to subclass.,,True or False,FALSE,TRUE,FALSE,,,,Inheritance
12/31/2020 22:55:44,"In order to restrict a variable of a class from inheriting to subclass, how variable should be declared?",,MCQ,B,Protected,Private,Public,Static,"By declaring variable private, the variable will not be available in inherited to subclass.",Inheritance
